epoch,loss,acc,val_loss,val_acc,network
54,0.0284,0.9940,0.0789,0.9875,dropout_no_pool
55,0.0227,0.9946,0.0739,0.9885,dropout_no_pool
56,0.0160,0.9959,0.0738,0.9894,dropout_no_pool
57,0.0196,0.9956,0.0657,0.9895,dropout_no_pool
58,0.0260,0.9936,0.0744,0.9888,dropout_no_pool
59,0.0244,0.9947,0.0641,0.9887,dropout_no_pool
60,0.0142,0.9966,0.0648,0.9888,dropout_no_pool
61,0.0185,0.9951,0.0742,0.9880,dropout_no_pool
62,0.0175,0.9958,0.0730,0.9893,dropout_no_pool
63,0.0214,0.9952,0.0713,0.9892,dropout_no_pool
64,0.0238,0.9952,0.0696,0.9889,dropout_no_pool
65,0.0251,0.9942,0.0759,0.9880,dropout_no_pool
66,0.0231,0.9944,0.0730,0.9890,dropout_no_pool
67,0.0249,0.9944,0.0729,0.9887,dropout_no_pool
68,0.0172,0.9961,0.0697,0.9887,dropout_no_pool
69,0.0267,0.9940,0.0715,0.9899,dropout_no_pool
70,0.0228,0.9952,0.0799,0.9872,dropout_no_pool
71,0.0236,0.9953,0.0697,0.9901,dropout_no_pool
72,0.0178,0.9961,0.0869,0.9875,dropout_no_pool
73,0.0221,0.9948,0.0829,0.9881,dropout_no_pool
74,0.0203,0.9958,0.0781,0.9893,dropout_no_pool
75,0.0187,0.9958,0.0623,0.9909,dropout_no_pool
76,0.0181,0.9962,0.0841,0.9894,dropout_no_pool
77,0.0160,0.9970,0.0766,0.9893,dropout_no_pool
78,0.0242,0.9952,0.0775,0.9901,dropout_no_pool
79,0.0295,0.9942,0.0827,0.9897,dropout_no_pool
80,0.0237,0.9951,0.0744,0.9911,dropout_no_pool
81,0.0175,0.9962,0.0650,0.9915,dropout_no_pool
82,0.0129,0.9969,0.0646,0.9913,dropout_no_pool
83,0.0160,0.9963,0.0706,0.9906,dropout_no_pool
84,0.0240,0.9949,0.0888,0.9881,dropout_no_pool
85,0.0258,0.9955,0.0879,0.9880,dropout_no_pool
86,0.0245,0.9948,0.0808,0.9909,dropout_no_pool
87,0.0188,0.9958,0.0739,0.9902,dropout_no_pool
88,0.0219,0.9955,0.0789,0.9880,dropout_no_pool
89,0.0294,0.9938,0.0761,0.9907,dropout_no_pool
90,0.0197,0.9960,0.0786,0.9901,dropout_no_pool
91,0.0210,0.9961,0.0874,0.9893,dropout_no_pool
92,0.0296,0.9945,0.1145,0.9856,dropout_no_pool
93,0.0267,0.9950,0.0685,0.9903,dropout_no_pool
94,0.0153,0.9964,0.0696,0.9892,dropout_no_pool
95,0.0228,0.9955,0.0718,0.9903,dropout_no_pool
96,0.0208,0.9965,0.0849,0.9892,dropout_no_pool
97,0.0136,0.9967,0.0895,0.9899,dropout_no_pool
98,0.0195,0.9960,0.0912,0.9894,dropout_no_pool
99,0.0205,0.9959,0.0817,0.9902,dropout_no_pool
100,0.0161,0.9970,0.0874,0.9889,dropout_no_pool
